Title,Author,Narrator,Runtime,Release Date,Language
Junkyard Riders,Faith Hunter,Khristine Hvam,Length: 4 hrs and 46 mins,"Release date:
                                    01-20-26
                                  ","Language:
                                      English
                                    "
Heart of a Goon,Jahquel J.,Wesleigh Siobhan,Length: 10 hrs,"Release date:
                                    03-24-26
                                  ","Language:
                                      English
                                    "
System Clash,SunriseCV,Adam Verner,Length: 25 hrs and 27 mins,"Release date:
                                    01-14-26
                                  ","Language:
                                      English
                                    "
"Classroom of the Elite: Year 2, Vol. 12",Syougo Kinugasa,Zion Jang,Length: 9 hrs and 23 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
A Parade of Horribles,Matt Dinniman,Jeff Hays,Length: Not Yet Known,"Release date:
                                    05-12-26
                                  ","Language:
                                      English
                                    "
Dark Island Revolt,I. T. Lucas,Charles Lawrence,Length: 9 hrs and 57 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Ground State,Craig Alanson,R.C. Bray,Length: 20 hrs and 33 mins,"Release date:
                                    01-27-26
                                  ","Language:
                                      English
                                    "
The Path of Ascension Book 10.5,C. Mantis,J.S. Arquin,Length: 4 hrs and 43 mins,"Release date:
                                    01-21-26
                                  ","Language:
                                      English
                                    "
The Fourth Option,"Jack Carr,M.P. Woodward",,Length: 11 hrs,"Release date:
                                    05-12-26
                                  ","Language:
                                      English
                                    "
SEAL Team Hawaii Box Set 1: Books 1-4,Susan Stoker,Emma Wilder,Length: 38 hrs and 18 mins,"Release date:
                                    01-06-26
                                  ","Language:
                                      English
                                    "
Cómo Abrazar a un Puercoespín,Sean Smith,Martha Adriana Juárez,Length: 1 hr and 24 mins,"Release date:
                                    12-23-25
                                  ","Language:
                                      Spanish
                                    "
Defiance of the Fall 16,"TheFirstDefier,JF Brink",Pavi Proczko,Length: 22 hrs and 17 mins,"Release date:
                                    12-23-25
                                  ","Language:
                                      English
                                    "
Settle,"Sean Oswald,Joshua Mason - editor",Giancarlo Herrera,Length: 17 hrs and 54 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
"Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs, Vol. 8",Yomu Mishima,Yung-I Chang,Length: 9 hrs and 37 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Rites of the Starling,"Devney Perry,Michelle Gyo,Kerstin Fricke",Dagmar Bittner,Length: 18 hrs,"Release date:
                                    09-14-26
                                  ","Language:
                                      German
                                    "
My Favorite Sin,Skyla Summers,Heather Firth,Length: 10 hrs and 15 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Proportional Response,M. Tress,Jack Smith,Length: 15 hrs and 36 mins,"Release date:
                                    12-29-25
                                  ","Language:
                                      English
                                    "
Dark Age (Part 2 of 3) (Dramatized Adaptation),Pierce Brown,full cast,Length: 11 hrs and 5 mins,"Release date:
                                    01-09-26
                                  ","Language:
                                      English
                                    "
The Stepson,D.L. Fisher,Jessica Preddy,Length: 8 hrs and 1 min,"Release date:
                                    12-11-25
                                  ","Language:
                                      English
                                    "
The First Dragon,Kevin Mcdowell,Shayna Elliott,Length: 1 hr and 56 mins,"Release date:
                                    11-25-25
                                  ","Language:
                                      English
                                    "
